authors,title,author1,author2,organization,year,journal,keyFindings,metaDescription,onePageSummary,link,pillar,subpillar,solution,subcategory,file
Gatti et al.,The number of tree species on Earth,"Gatti, Roberto Cazzolla ","Reich, Peter B. ",Purdue University,2022,PNAS,"Estimating global tree species richness remains challenging due to logistical, financial, and taxonomic issues. ​Using global ground-sourced data, it is estimated that there are approximately 73,000 tree species worldwide, with around 9,000 yet to be discovered. About 40% of undiscovered species are in South America, many of which are rare with limited distributions. These findings underscore the vulnerability of forest biodiversity to anthropogenic changes, particularly threatening these rare species.","Global tree species estimates suggest 73,000 tree species, with 9,000 undiscovered, mostly in South America. Rare species are highly vulnerable to anthropogenic changes (Gatti et al).",,https://www.pnas.org/doi/full/10.1073/pnas.2115329119,,,,,
Gatti et al.,Sustainable palm oil may not be so sustainable,"Gatti, Roberto Cazzolla ","Liang, Jingjing ",Purdue University,2019,Science of The Total Environment,"The global palm oil trade threatens Southeast Asia's ecosystem integrity. Palm oil certifications, such as RSPO and POIG, have not effectively halted forest degradation and biodiversity loss. Analyzing datasets from 2001 to 2016, we found that about 40% of certified areas in Indonesia, Malaysia, and Papua New Guinea suffered habitat degradation, deforestation, and fires. Certified concessions experienced more tree removals than non-certified ones, both before and after certification. This indicates that ""sustainable palm oil"" often correlates with recent environmental destruction, questioning the true sustainability of certified palm oil production.","The palm oil trade harms Southeast Asia's ecosystems and palm oil certifications fail to prevent degradation, with 40% of certified areas facing deforestation and fires (Gatti et al).",,https://doi.org/10.1016/j.scitotenv.2018.10.222,,,,,
Gentine & Alemohammad,Reconstructed Solar-Induced Fluorescence: A Machine Learning Vegetation Product Based on MODIS Surface Reflectance to Reproduce GOME-2 Solar-Induced Fluorescence,"Gentine, P. ","Alemohammad, S.H.",Columbia University,2018,Geophysical Research Letters,"Current solar-induced fluorescence (SIF) observations have enhanced gross primary productivity (GPP) estimates despite issues of spatial coarseness, infrequency, and noise. A machine learning approach using MODIS surface reflectances was developed to replicate SIF normalized by clear sky surface irradiance from GOME-2, resulting in a proxy for photosynthetically active radiation absorbed by chlorophyll (fAPARCh). This proxy, when combined with MODIS estimates, forms Reconstructed SIF (RSIF), which shows higher seasonal and interannual correlation with GPP than original SIF. RSIF effectively maps productivity in areas like the U.S. Corn Belt, outperforming typical vegetation indices.","Reconstructed solar-induced fluorescence (SIF) improves gross primary productivity, exceeding initial SIF with a machine learning approach using MODIS to replicate SIF (Gentine & Alemohammad).",,https://doi.org/10.1002/2017GL076294,,,,,
Gianni et al.,"How much longer will it take? A ten-year review of the implementation of UNGA resolutions 61/105, 64/72 and 66/68 on the management of bottom fisheries in areas beyond national jurisdiction","Gianni, M.","Fuller, S.",,2016,Deep Sea Conservation Coalition,"The deep sea is Earth's largest source of species and ecosystem diversity surpassing other known biomes from metazoan to microbial realms. However, unsustainable deep-water trawl fisheries threaten fragile benthic habitats, leading to the serial depletion of targeted stocks and bycatch species, with severe, long-term environmental destruction globally. Intensive bottom trawling degrades seascapes and poses significant ecosystem threats. Bottom-dwelling fish capture and store over 1M tonnes of CO2 annually. In 2002, the UNGA emphasized deep-sea biodiversity threats, but few measures or competent RFMOs were available to safeguard these ecosystems.","Unsustainable deep-water trawling depletes stocks, destroys benthic habitats, and threatens deep-sea biodiversity, despite UNGA's 2002 warning, with minimal protections (Gianni et al).",,https://marine-conservation.org/media/filer_public/filer_public/2016/07/29/dscc_review_2016_launch_29_july.pdf,,,,,
Giardina et al.,Tall Amazonian forests are less sensitive to precipitation variability,"Giardina, Francesco","Konings, Alexandra G. ",Columbia University,2018,Nature Geoscience,"Climate change affects the Amazon's dynamics, structure, and function, critical to the Earth's carbon cycle. While factors like precipitation and vapor-pressure deficit controlling forest photosynthesis are known, the roles of forest height and age are less studied. Using remote sensing, the study reveals taller Amazonian forests (>30m) are three times less sensitive to precipitation variability than shorter ones (<20m). These taller forests, which are older and have deeper roots, are more resilient to drought but more sensitive to vapor-pressure deficit fluctuations. This highlights the importance of forest height and age in photosynthetic responses to climate change.","Taller, older Amazon forests are more drought-resilient but sensitive to vapor-pressure deficit, emphasizing forest height and age in climate change responses (Giardian et al).",,https://www.nature.com/articles/s41561-018-0133-5,,,,,
Gibbs & Salmon,Mapping the world's degraded lands,"Gibbs, H.K.
","Salmon, J.M.",University of Wisconsin-Madison,2014,Applied Geography,"Degraded lands are proposed as a solution for land scarcity and to meet global agricultural demands, yet their locations and conditions are ambiguous. Four global assessment methods include expert opinion, satellite observation, biophysical models, and abandoned agricultural lands inventory. ​Estimates of degraded land area range widely from under 1B to over 6B hectares, revealing significant discrepancies. Overestimating these areas' availability and productivity risks detracting from efforts to reduce food waste and land-intensive commodity demand. This review standardizes database methodologies and highlights discrepancies among assessments to better understand global degraded land distribution.","Degraded land estimates are unclear, risking mismanagement. Overestimation may hinder efforts to reduce food waste and land-intensive commodity demand (Gibbs & Salmon).",,https://doi.org/10.1016/j.apgeog.2014.11.024,,,,,
Gibbs et al.,By the Numbers: The Value of Tropical Forests in the Climate Change Equation,"Gibbs, David","Harris, Nancy ",Global Forest Watch,2018,World Resources Institute,"​Protecting tropical forests is crucial to achieving the Paris Agreement's climate goals. Approximately 8% of global emissions currently come from tree cover loss in tropical forests, an annual average of 4.8 GtCO2e w/ 14.3 Mha of forest lost (2015-2017 avg). Forests account for 25% of planned emission reductions by 2030 in all Nationally Determined Contributions (NDCs). However, 2017 data shows increased tree cover loss, with average emissions from 2015-2017 being 63% higher than the 14 years prior, making it nearly impossible to maintain warming below 2°C. 
","Tropical forests are crucial for climate goals, yet tree cover loss, now 63% higher than before, contributes 8% of global emissions, threatening Paris Agreement 2°C targets (Gibbs et al).",,https://www.wri.org/blog/2018/10/numbers-value-tropical-forests-climate-change-equation,,,,,
Mountford et al.,Unlocking the Inclusive Growth Story of the 21st Century: Accelerating Climate Action in Urgent Times (PDF),"Mountford, Helen","Corfee-Morlot, Jan",New Climate Economy (NCE),2018,Global Commision on the Economy and Climate,"A new economic era is emerging, driven by technological innovation, sustainable infrastructure, and resource efficiency. Investing $90T in sustainable infrastructure by 2030 is critical for economic growth and climate stability. Despite progress, climate action remains too slow, with policymakers lagging. The Global Commission on the Economy and Climate emphasizes urgent action across energy, cities, food systems, water, and industry. Priorities include carbon pricing, private-sector engagement, sustainable finance, and equitable transition strategies. With $26T in potential gains, bold leadership and investment are needed now to secure a low-carbon, resilient, and inclusive future.","Sustainable growth needs urgent action in energy, cities, and industry. Investing $90T in green infrastructure by 2030 secures a low-carbon future (Mountford et al).",,https://newclimateeconomy.net/sites/default/files/2023-11/NCE_2018Report_Full_FINAL_7.pdf,,,,,
Pörtner et al.,Special Report on the Ocean and Cryosphere in a Changing Climate,"Pörtner, Hans-Otto ","Roberts, Debra C. ",,2022,IPCC,"​The IPCC's Special Report on the Ocean and Cryosphere in a Changing Climate (SROCC), initiated in 2016, evaluates recent scientific literature to address proposals from governments and observer organizations. Following reports on global warming and land, it includes findings summarized for policymakers in three parts: observed changes and impacts, projected changes and risks, and response implementation strategies.","The IPCC's SROCC report evaluates ocean and cryosphere changes, impacts, risks, and strategies for response, summarizing key findings for policymakers (Abram et al).",,https://www.ipcc.ch/srocc/,,,,,
Pharo et al.,Growing Better:Ten Critical Transitions to Transform Food and Land Use,"Pharo, Per ","Oppenheim, Jeremy ",FOLU Global Report,2019,Food & Land Use Coalition,"​Transforming food and land use systems in the next decade can mitigate climate change, preserve biodiversity, enhance diets, improve food security, and foster inclusive rural economies. Requiring less than 0.5% of global GDP with returns over 15 times the investment can create $4.5T annual business opportunities by 2030. Ignoring this transformation risks biodiversity loss, food insecurity, and compromised socio-economic development. The Food and Land Use Coalition proposes a reform agenda of ten critical transitions to provide food security and tackle climate, biodiversity, health, and poverty challenges. Empowering consumers and implementing nature-based solutions are central to this transformation.","Transforming food and land use systems can mitigate climate change, preserve biodiversity, enhance food security, and yield $4.5T in opportunities by 2030 (Pharo et al).",,https://www.foodandlandusecoalition.org/wp-content/uploads/2019/09/FOLU-GrowingBetter-GlobalReport.pdf,,,,,
Global Methane Initative,Global Methane Emissions and Mitigation Opportunities,Global Methane Initative,,,2024,Global Methane Initative,"Methane (CH₄), the main component of natural gas, is a potent greenhouse gas with 25 times the warming potential of CO₂. It accounts for 14% of global emissions and is released from fossil fuel production, agriculture, and waste decay. Despite lower emissions than CO₂, methane drives over one-third of human-caused warming, making its reduction crucial for near-term climate mitigation.","Methane, 25× stronger than CO₂, drives 14% of emissions and a third of warming. Major sources: fossil fuels, agriculture, and waste decay (Global Methane Initative).",,https://www.globalmethane.org/documents/analysis_fs_en.pdf,,,,,
Leal & Spaulding,State of World's Mangroves,"Leal, Maricé ","Spalding, Mark D.",,2024,The Global Mangrove Alliance,"Mangroves are vital ecosystems supporting biodiversity, climate resilience, and coastal protection. The 2024 State of the World’s Mangroves highlights advances in conservation, mapping, and ecological understanding. Improved global maps reveal 147,256 km² of mangroves, while studies link 43% of losses to aquaculture, agriculture, and climate impacts. Despite declining loss rates, half of mangrove provinces remain threatened. Mangroves store vast carbon reserves, averaging 394 tonnes per hectare, and reduce storm surges by up to 70%. Integrating conservation across ecosystems and incorporating local knowledge is essential to safeguarding these critical ecosystems for biodiversity, livelihoods, and climate mitigation.","Mangroves store carbon, support biodiversity, and reduce storm surges. Despite progress, threats persist, requiring urgent conservation and policy action (Leal & Spaulding).",,https://www.mangrovealliance.org/mangrove-forests/,,,,,
Golden Kroner et al.,The uncertain future of protected lands and waters,"Golden Kroner, Rachel E. ","Qin, Siyu ",George Mason University,2019,Science,"Protected areas aim to preserve biodiversity long-term, yet their effectiveness is compromised by widespread legal changes—PADDD (downgrading, downsizing, and degazettement) events. In the United States and Amazonian countries, 709 PADDD events were recorded, with 3,749 globally from 1892-2018, impacting 2.18M square kilometers. Notably, 78% occurred post-2000, primarily due to resource extraction and development. Strategies are essential to mitigate PADDD and enhance PA efficacy.",Legal changes compromise protected areas and impact 2.18M km² globally due to resource extraction and development. Mitigation strategies are needed (Golden Kroner et al).,,https://www.science.org/doi/10.1126/science.aau5525,,,,,
Gonzalez et al.,"Tropical rainforest biodiversity and aboveground carbon changes and uncertainties in the Selva Central, Peru","Gonzalez, Patrick ","Kroll, Benjamín ","University of California, Berkeley",2014,Forest Ecology and Management,"Tropical deforestation diminishes natural forests, crucial for biodiversity, resources, and carbon storage. Research combining field data, remote sensing, and Monte Carlo analyses over 5200 km² in Peru's Selva Central identified 438 tree species, revealing old-growth forest carbon density at 93 ± 39 Mt ha−1 and secondary forest at 40 ± 10 Mt ha−1. ​Deforestation at 0.3% annually caused significant emissions of 1.6 ± 0.4M Mt carbon. Proximity to roads influenced deforestation. REDD+ initiatives could prevent 2.8 ± 0.8M Mt carbon emissions by 2021, conserving forest carbon and biodiversity, with potential CDM reforestation credits.","Tropical deforestation in Peru's Selva Central reduces carbon storage, emitting 1.6M Mt annually. REDD+ could prevent 2.8M Mt emissions and conserve biodiversity (Gonzales et al).",,http://dx.doi.org/10.1016/j.foreco.2013.10.019,,,,,
Gonzalez et al.,Global biodiversity observing system to unite monitoring and guide action,"Gonzalez, Andrew
","Vihervaara, Petteri ",McGill University,2023,Nature Ecology & Evolution,"The rate and extent of global biodiversity change is surpassing theability to measure, monitor and forecast trends. Proposed is an interconnected worldwide system of observation networks — a global biodiversity observing system (GBiOS) — to coordinate monitoring worldwide and inform action to reach international biodiversity targets.
",Global biodiversity change exceeds our ability to track it; a global biodiversity observing system (GBiOS) is proposed to coordinate monitoring and meet biodiversity targets (Gonzalez et al).,,https://www.nature.com/articles/s41559-023-02171-0,,,,,
Goodwin et al.,"Trends in anxiety among adults in the United States, 2008–2018: Rapid increases among young adults","Goodwin, Renee D. ","Weinberger, Andrea H. ",The City University of New York,2020,ScienceDirect,"From 2008 to 2018, anxiety prevalence among U.S. adults rose from 5.12% to 6.68%. The sharpest increase occurred in the 18-25 age group, climbing from 7.97% to 14.66% and outpacing increases among 26-34 and 35-49 year-olds. Anxiety did not significantly grow for those aged 50 and older. A rapid rise was also noted among the never-married and those with some college education, indicating a pervasive trend across sociodemographic groups. Implementing preventative measures to promote healthy coping and treatment is crucial for younger adults exposed to stressors and constant media.","Anxiety in U.S. adults rose from 5.12% to 6.68% from 2008-2018, with the sharpest increase in ages 18-25, highlighting the need for preventive measures to promote healthy coping (Goodwin et al).",,https://www.sciencedirect.com/science/article/pii/S0022395620309250?via%3Dihub,,,,,
Gosling et al.,A global mapping template for natural and modified habitat across terrestrial Earth,"Gosling, Joe","Jones, Matt I. ",UN Environment Programme World Conservation Monitoring Centre,2020,ScienceDirect,"The IPBES Global Assessment recommended five key interventions to combat nature degradation, including pre-emptive actions by regulatory and management institutions and businesses. ​Utilizing performance standards, especially IFC's Performance Standard 6 (PS6), is crucial. IFC invests in sectors like infrastructure and mining, potentially impacting the environment. PS6 requires evaluating ""natural and modified habitat"" in investments. Using freely available data, a global layer was developed to identify these habitats, aligned with PS6 definitions. This tool can aid global and regional banks and international corporations in their investment decisions.","The IPBES Global Assessment recommends using performance standards like PS6 to combat nature degradation, aiding global investments in evaluating environmental impacts (Gosling et al).",,https://doi.org/10.1016/j.biocon.2020.108674,,,,,
Griscom et al.,Natural Climate Solutions,"Griscoma, Bronson W. ","Adams, Justin ",The Nature Conservancy,2017,PNAS,"​Effective land stewardship is essential to meet the goal of limiting warming to below 2°C. This study identifies 20 natural climate solutions (NCS), such as conservation and restoration, to enhance carbon storage and reduce emissions across forests, wetlands, grasslands, and agricultural lands. These NCS could mitigate up to 23.8 PgCO2e annually, with 11.3 PgCO2e being cost-effective if CO2 costs are ≥100 USD MtCO2e⁻¹ by 2030. NCS can potentially deliver 37% of the necessary CO2 mitigation by 2030 for a >66% chance of staying below the 2°C target, with multiple additional environmental benefits. ","Natural climate solutions can mitigate up to 23.8 PgCO2e annually, offering 37% of needed CO2 reduction by 2030 to keep warming below 2°C, with multiple environmental benefits (Griscom et al).
",,https://www.pnas.org/content/pnas/114/44/11645.full.pdf,,,,,
Griscom et al.,Carbon and Biodiversity Impacts of Intensive Versus Extensive Tropical Forestry,"Griscoma, Bronson W. ","Goodman, Rosa C.",The Nature Conservancy,2017,Conservations Letters,Low-intensity selective logging was shown to have either the best or worst overall outcomes per unit of wood produced (depending on logging methods and the security of the land tenure). Medium/high intensity logging and conversion to high-yield plantations had intermediate outcomes. Deforestation risk had the greatest impact on outcomes.,"Low-intensity selective logging yields the best or worst outcomes based on logging methods and tenure security, with deforestation risk being the most significant factor (Griscom et al).",,https://onlinelibrary.wiley.com/doi/full/10.1111/conl.12362,,,,,
T. Grossman,Looking Forward: California's Climate Leadership,"Grossman, Teo",,Bioneers,2015,Academia.edu,"California leads in climate policy, reducing per capita emissions by 17% while maintaining economic growth. By 2030, it aims for 40% emissions reduction, 50% renewable energy, and 1.5M EVs. Policies prioritize environmental justice, green infrastructure, and sustainable agriculture. Challenges remain, but California models a sustainable future.",California's environmental policies decouple increased emissions from growth by reducing per capita emissions by 17% and targeting a 40% reduction below 1990 levels by 2030 (T. Grossman).,,https://www.academia.edu/17811838/Looking_Forward_California_s_Climate_Leadership,,,,,
Crowfoot et al.,"Bioneers: California Climate Leadership e-Book
","Crowfoot, Wade ","Hayden, Tom ",,2015,Bioneers,"California’s climate policies serve as a global model, demonstrating how to cut emissions while maintaining economic growth. Over the past decade, the state reduced per capita emissions by 17% and created nearly 200,000 clean energy jobs. With major investments in a low-carbon economy, California leads in advancing practical climate solutions.","California cuts emissions while growing its economy, advancing clean energy, EVs, and green policies, modeling a sustainable, low-carbon future (Crowfoot, et al).",,https://bioneers.org/shop/bioneers-e-book-california-climate-leadership/,,,,,
Grubler et al.,A low energy demand scenario for meeting the 1.5 °C target and sustainable development goals without negative emission technologies,"Grubler, Arnulf ","Wilson, Charlie ",International Institute for Applied Systems Analysis,2018,Nature Energy,"This study presents a scenario for limiting global warming to 1.5°C by reducing global energy demand by 40% by 2050, despite population and economic growth. It highlights observable trends in the global North and South, showing how changes in energy services drive structural shifts in energy and land use sectors. This low energy demand scenario enhances the feasibility of low-carbon transformation, meeting the 1.5°C target without relying on negative emission technologies, and aligns with multiple sustainable development goals.","A 40% reduction in global energy demand by 2050 can limit warming to 1.5°C, enabling low-carbon transformation without negative emission technologies (Grubler et al).",,https://www.nature.com/articles/s41560-018-0172-6,,,,,
H. Ritchie,Food production is responsible for one-quarter of the world’s greenhouse gas emissions,"Ritchie, Hannah",,Our World in Data,2019,Our World in Data,"While energy solutions dominate climate discussions, the global food system, including production, processing, and distribution, contributes 26% of global GHG emissions. Unlike energy, food-related emissions lack viable technological solutions. A visualization based on Poore and Nemecek's 2018 study highlights the significant impact of food on total emissions, underscoring the need for addressing this sector in climate strategies.","The global food system contributes 26% of GHG emissions, lacking viable tech solutions, highlighting the need to address food in climate strategies (H. Ritchie).",,https://ourworldindata.org/food-ghg-emissions,,,,,
Haddad et al.,Habitat fragmentation and its lasting impact on Earth's ecosystems,"Haddad, Nick M. ","Brudvig, Lars A. ",North Carolina State University,2015,Science Advances,"An analysis of global forest cover reveals that 70% of remaining forests are within 1 km of the edge, making them vulnerable to fragmentation. A 35-year synthesis across multiple biomes shows that fragmentation reduces biodiversity by 13-75% and disrupts ecosystem functions by decreasing biomass and altering nutrient cycles. These effects are most severe in small, isolated fragments and worsen over time. The study underscores the urgent need for conservation and restoration to enhance landscape connectivity, reduce extinction rates, and maintain ecosystem services.",70% of global forests are near edges making them vulnerable to fragmentation and reducing biodiversity by 13-75% which disrupts ecosystems (Haddad et al).,,https://advances.sciencemag.org/content/1/2/e1500052,,,,,
Hahn et al.,Unmanned Aerial Vehicles Mitigate Human-Elephant Conflict on the Borders of Tanzanian Parks: A Case Study,"Hahn, Nathan","Mwakatobe, Angela ",,2016,Oryx,"In northern Tanzania, drones were successfully used to deter elephants from crop fields and settlements during peak maize ripening in 2015 and 2016. In 100% of 51 trials, elephants rapidly departed upon drone deployment. This cost-effective method shows promise for reducing human-elephant conflicts and enhancing safety for wildlife managers, farmers, and elephants. Further testing is recommended to assess the broader utility of drones in managing wildlife conflicts.","Drones effectively deterred elephants from crops in Tanzania, with 100% success in trials, reducing conflicts and enhancing safety (Hahn et al).",,https://www.cambridge.org/core/journals/oryx/article/unmanned-aerial-vehicles-mitigate-humanelephant-conflict-on-the-borders-of-tanzanian-parks-a-case-study/3BFA919F001CC117888833DE8448FEC4,,,,,
Hall et al.,Climate Change in the Sierra Nevada,"Hall, Alex","Berg, Neil ",Institute of the Environment and Sustainability,2018,UCLA Center for Climate Studies,"Crucial for California's water supply, the Sierra Nevada snowpack is projected to shrink due to global warming. This study examines key questions: the extent of warming, snow loss, earlier snowmelt, soil drying, and varying impacts across elevations and watersheds. It also explores whether reducing greenhouse gas emissions can mitigate these changes.","Sierra Nevada snowpack is shrinking due to warming. Study explores snow loss, early melt, soil drying, and emission reduction impacts (Hall et al).",,https://www.ioes.ucla.edu/project/climate-change-sierra-nevada/,,,,,
Hamburg et al.,Losses of mineral soil carbon largely offset biomass accumulation 15 years after whole-tree harvest in a northern hardwood forest,"Hamburg, Steven P. ","Vadeboncoeur, Matthew A. ",Brown University,2019,Brown University,"A study at Hubbard Brook Experimental Forest analyzed soil carbon (C) stocks following a whole-tree harvest over 15 years. While the O horizon soil C showed no net change, the mineral soil C decreased by 15%, offsetting two-thirds of aboveground biomass C accumulation. This suggests that forest harvesting impacts soil C recovery, delaying the offset of carbon dioxide emissions for bioenergy or carbon sequestration efforts.","A 15-year study at Hubbard Brook found that forest management reduced mineral soil carbon by 15%, delaying carbon sequestration and offsetting bioenergy emissions (Hamburg et al).",,https://link.springer.com/epdf/10.1007/s10533-019-00568-3?shared_access_token=QXdBJ5yIdM3Bwj6rmS3n5_e4RwlQNchNByi7wbcMAY6krBZmggOxhis84kMyDnN1bjaoKygLWcIaAmZD-rHgLXJv4bg1gME-jTbRI-hTg59pu1-G7pvFixPKwNJP6WX34bPO29eJTcUmEj1pqCW3rw%3D%3D,,,,,
Hanson et al.,"Global conservation of species’ niches
","Hanson, Jeffrey O. ","Rhodes, Jonathan R. ",,2020,Nature,"This study reveals that current protected areas inadequately represent the environmental conditions necessary for the adaptation of 93.1% of amphibians, 89.5% of birds, and 90.9% of terrestrial mammals. Expanding protected areas to cover these gaps would require 33.8% of global land, exceeding the current 17% target. Priority areas for expansion include global biodiversity hotspots like Colombia, Papua New Guinea, South Africa, and southwest China. Neglecting environmental conditions in expansion planning risks inadequate protection for 39.1% of species. Policymakers are urged to consider niche representation in global conservation targets to preserve species' adaptive potential.",Current protected areas fail to represent conditions needed for adaptation in 90% of vertebrates. Expanding them to 33.8% of global land is crucial to safeguard biodiversity (Hanson et al).,,https://www.nature.com/articles/s41586-020-2138-7,,,,,
Harden et al.,"Networking our science to characterize the state, vulnerabilities, and management opportunities of soil organic matter","Harden, Jennifer W. ","Hugelius, Gustaf ",Stanford University,2017,Global Change Biology,"Soil organic matter (SOM) is vital for sustaining ecosystems and storing carbon, but over 75% of soil organic carbon (SOC) is impacted by human land use. Large areas have lost SOC due to poor practices, yet improved management can enhance productivity and SOC storage in degraded lands. Climate change also threatens SOC stocks, necessitating robust measurements to track changes and guide management. The International Soil Carbon Network identifies gaps in data, modeling, and communication, advocating for a shared network to study and manage SOM and SOC for sustained production and climate regulation.",Over 75% of soil organic carbon (SOC) is impacted by human land use. Improved management and robust measurements are crucial for enhancing SOC storage and climate regulation (Harden et al).,,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13896,,,,,
Harper & Powell,Forests crucial for limiting climate change to 1.5C degrees,"Harper, Anna B. ","Powell, Tom ",University of Exeter,2018,Science Daily,"Tackling climate change by replacing forests with crops for bioenergy power stations that capture carbon dioxide (CO2) could lead to a net increase of carbon in the atmosphere, especially where the crops are assumed to replace existing forests.","Replacing forests with bioenergy crops could raise atmospheric CO2 levels, worsening climate change instead of mitigating it (Harper & Powell).",,https://www.sciencedaily.com/releases/2018/08/180807131802.htm,,,,,
Harper et al.,Land-use emissions play a critical role in land-based mitigation for Paris climate targets,"Harper, Anna B. ","Powell, Tom ",University of Exeter,2018,Nature Communications,"Scenarios to limit global warming below 2°C by 2100 rely on land-use changes like afforestation, reforestation, and Biomass Energy with Carbon Capture and Storage (BECCS) for CO2 removal. However, additional land-use changes to meet a 1.5°C target could result in net carbon losses. The effectiveness of BECCS is uncertain and depends on biomass choice and energy system offsets. Replacing high-carbon ecosystems with crops for BECCS may be less efficient than forest-based mitigation for CO2 removal.","Land-use changes like BECCS and afforestation are key to limiting warming below 2°C, but may cause net carbon losses. Forest-based CO2 removal could be more effective (Harper et al).",,https://www.nature.com/articles/s41467-018-05340-z,,,,,
Harris et al.,Global maps of twenty-first century forest carbon fluxes,"Harris, Nancy L. ","Gibbs, David A. ",World Resources Institute,2021,Nature Climate Change,"Managing forests for climate change mitigation involves diverse stakeholders with overlapping objectives, making consistent evaluation challenging. This study integrates ground and Earth observation data to map global forest-related greenhouse gas emissions and removals at 30m resolution from 2001-2019. Results show forests as a net carbon sink of -7.6 GtCO2e yr−1, balancing removals (-15.6 GtCO2e yr−1) and emissions (8.1 GtCO2e yr−1). The framework enhances climate policy by ensuring transparency and consistency in tracking forest-specific mitigation efforts globally.","Managing forests for climate mitigation is complex. This study maps global forest emissions and removals, showing a net carbon sink that aids consistent climate policy (Harris et al).",,https://www.nature.com/articles/s41558-020-00976-6,,,,,
Haupt et al.,Taking a Bite Out of Climate Change: Why We Should Stop Harming the Planet and Ourselves by Eating Too Much Beef,"Haupt, F.","Streck, C.",,2017,Climate Focus,"As the global population grows, dietary choices significantly impact the environment, with beef having the largest effect on climate, forests, and soils due to its high land and water needs. Beef consumption, linked to health risks like cancer and heart disease, is highest in the U.S., Brazil, and China, which together consume over a third of the world's beef. The U.S. and Brazil have particularly high per capita consumption, far exceeding recommended red meat intake. China's lower per capita consumption, combined with its large population, makes it a significant and growing beef consumer.","Beef's high environmental impact on climate, forests, and soils is amplified by rising global consumption, particularly in the U.S., Brazil, and China (Haupt et al).",,https://climatefocus.com/wp-content/uploads/2022/06/Spreads-cf-clua-beef-20171025-2-spreads.pdf,,,,,
Z. Hausfather,New scenarios show how the world could limit warming to 1.5C in 2100,"Hausfather, Zeke",,,2018,Global Temperature,"The 2015 Paris Agreement aimed to limit global warming to 1.5°C, but few studies had explored pathways to this goal. A new study using six integrated assessment models suggests that 1.5°C is achievable if global emissions peak soon and large-scale carbon removal, particularly through bioenergy with carbon capture and storage, is implemented in the latter half of the century.",Limiting warming to 1.5°C is achievable if global emissions peak soon and large-scale carbon removal via bioenergy with carbon capture and storage is implemented later (Z. Hausfather).,,https://www.carbonbrief.org/new-scenarios-world-limit-warming-one-point-five-celsius-2100/,,,,,
Hayek et al.,The carbon opportunity cost of animal-sourced food production on land,"Hayek, Matthew N. 
","Harwatt, Helen ",New York University,2021,Nature Sustainability,"Shifting global food production to plant-based diets by 2050 could sequester 332–547 GtCO2, offsetting 99–163% of the CO2 emissions budget needed to limit warming to 1.5°C. This significant carbon opportunity cost highlights the potential of dietary changes to enhance carbon sequestration through ecosystem restoration.","Shifting to plant-based diets by 2050 could sequester 332–547 GtCO2, offsetting 99–163% of the CO2 budget needed to limit warming to 1.5°C, enhancing carbon sequestration (Hayek et al).",,https://www.nature.com/articles/s41893-020-00603-4,,,,,
Heller & Keoleian,Greenhouse Gas Emission Estimates of U.S. Dietary Choices and Food Loss,"Heller, Martin C. ","Keoleian, Gregory A. ",University of Michigan,2014,Journal of Industrial Ecology,"Dietary choices significantly impact greenhouse gas (GHG) emissions in the food system. Food losses at retail and consumer levels contribute 28% (1.4 kg CO2-eq per capita per day) to the U.S. diet's carbon footprint, equivalent to emissions from 33M cars annually. Although beef represents only 4% of the food supply by weight, it accounts for 36% of diet-related GHG emissions. Shifting to USDA dietary recommendations could increase GHG emissions by 12%, but reducing caloric intake could lead to a 1% decrease. These results highlight the importance of considering environmental impacts in dietary guidelines.","Dietary choices drive GHG emissions, with food losses contributing 28% to the U.S. diet's carbon footprint. Beef, 4% of supply by weight, causes 36% of emissions (Heller & Keoleian).",,https://doi.org/10.1111/jiec.12174,,,,,
Hendon et al.,The air above Antarctica is suddenly getting warmer – here’s what it means for Australia,"Hendon, Harry ","Watkins, Andrew B. ",Australian Bureau of Meteorology,2019,The Conversation,"Due to sudden stratospheric warming, record warm temperatures above Antarctica are expected to lead to above-average spring temperatures and below-average rainfall in New South Wales and southern Queensland. This phenomenon began in late August 2019 and is forecasted to intensify, potentially surpassing the previous record set in September 2002. The warming will impact much of eastern Australia.",Sudden stratospheric warming over Antarctica will bring record spring temperatures and below-average rainfall to New South Wales and southern Queensland (Hendon et al).,,http://theconversation.com/the-air-above-antarctica-is-suddenly-getting-warmer-heres-what-it-means-for-australia-123080,,,,,
Heron et al.,Warming Trends and Bleaching Stress of the World's Coral Reefs 1985-2012,"Heron, Scott F. ","Maynard, Jeffrey A. ",NOAA Coral Reef Watch,2016,Scientific Reports,"Coral reefs experienced the longest recorded bleaching event from 2014 to 2016, with 97% of over 60,000 global reef pixels showing warming trends from 1985–2012. The analysis reveals that summer-like temperatures are lasting longer, with a three-fold increase in bleaching-level thermal stress between 1985–91 and 2006–12. This trend is expected to continue, emphasizing the need to study thermal history's impact on bleaching resistance and reef resilience. The data helps identify reefs that may better withstand thermal stress, guiding conservation efforts.",97% of coral reefs show warming trends and a three-fold increase in thermal stress. This trend necessitates studies on reef resilience to guide conservation efforts (Heron et al).,,https://www.nature.com/articles/srep38402,,,,,
